Student ID,Drink Name,Size,Sugar %,Milk,Whip,Price($),Calories
2001,Vanilla Latte,grande,0,2,0,$5.90,255 kcal
2002,Cold Brew,grande,50,2,0,$5.65,105 kcal
2003,Black Tea,grande,25,0,0,$4.75,35 kcal
2004,Chai Tea,grande,100,4,0,$3.85,240 kcal
2005,Matcha Latte,vendi,100,5,0,$4.20,305 kcal
2006,Black Tea,grande,100,0,0,$4.89,45 kcal
2007,Iced Matcha,grande,50,1,2,$5.76,260 kcal
2008,Latte,tall,100,1,0,$5.29,150 kcal
2009,Latte,short,75,1,0,$5.20,120 kcal
2010,Iced Matcha,tall,75,3,0,$3.98,225 kcal
2011,Cold Brew,tall,100,0,0,$5.37,80 kcal
2012,Mocha,grande,100,0,1,$4.66,290 kcal
2013,Cappuccino,venti,75,5,0,$4.44,205 kcal
2014,Vanilla Latte,grande,100,1,0,$5.63,255 kcal
2015,Matcha Latte,tall,100,5,0,$5.04,255 kcal
2016,Iced Americano,venti,25,0,0,$5.78,110 kcal
2017,Espresso,grande,75,0,0,$3.49,65 kcal
2018,Espresso,short,25,0,0,$3.35,10 kcal
2019,Black Tea,tall,50,4,0,$4.73,35 kcal
2020,Matcha Latte,short,50,3,0,$5.14,225 kcal
2021,White Mocha,tall,25,2,1,$3.96,350 kcal
2022,Hot Chocolate,short,0,2,3,$3.98,275 kcal
2023,Caramel Frappuccino,short,100,2,1,$5.23,300 kcal
2024,Vanilla Latte,short,25,1,2,$4.39,200 kcal
2025,Caramel Latte,short,0,5,3,$3.37,200 kcal
2026,Vanilla Latte,grande,50,1,0,$4.90,245 kcal
2027,Cold Brew,venti,50,0,0,$5.31,115 kcal
2028,Strawberry Cream,tall,100,5,0,$4.75,370 kcal
2029,Black Tea,grande,50,0,0,$3.72,45 kcal
2030,Vanilla Latte,grande,0,4,0,$5.61,230 kcal
2031,Espresso,short,0,0,0,$4.55,5 kcal
2032,Strawberry Cream,grande,25,5,0,$4.93,385 kcal
2033,Hot Chocolate,grande,25,5,0,$4.28,320 kcal
2034,Caramel Frappuccino,tall,100,2,0,$5.45,320 kcal
2035,Strawberry Cream,venti,25,5,0,$4.37,395 kcal
2036,Cold Brew,grande,25,0,0,$4.01,100 kcal
2037,Mocha,short,0,2,1,$2.87,235 kcal
2038,Chai Tea,short,75,0,0,$4.07,210 kcal
2039,Mocha,venti,100,2,1,$5.07,320 kcal
2040,Espresso,grande,100,0,0,$3.89,65 kcal
2041,Vanilla Latte,tall,100,1,0,$4.57,220 kcal
2042,Cold Brew,grande,100,0,0,$4.94,105 kcal
2043,Latte,grande,0,2,0,$4.62,160 kcal
2044,Caramel Latte,tall,75,5,3,$4.26,185 kcal
2045,Matcha Latte,grande,75,0,0,$5.19,295 kcal
2046,Caramel Latte,short,50,1,0,$4.62,200 kcal
2047,Hot Chocolate,grande,50,5,1,$5.02,320 kcal
2048,Flat White,short,50,2,0,$4.40,155 kcal
2049,Vanilla Latte,short,0,5,0,$3.50,185 kcal
2050,Hazelnut Latte,venti,0,1,0,$3.82,285 kcal
2051,Iced Americano,mini,75,0,0,$3.53,25 kcal
2052,Flat White,grande,0,2,0,$5.60,235 kcal
2053,Matcha Latte,mini,50,0,0,$5.67,270 kcal
2054,Green Tea Lemonade,grande,100,0,0,$4.58,155 kcal
2055,Caramel Frappuccino,short,75,2,1,$2.78,320 kcal
2056,Iced Matcha,venti,100,3,0,$5.89,290 kcal
2057,White Mocha,venti,50,4,1,$4.79,375 kcal
2058,Iced Americano,grande,100,0,0,$4.36,65 kcal
2059,Iced Matcha,tall,50,4,0,$4.74,235 kcal
2060,White Mocha,grande,0,0,1,$5.24,360 kcal
2061,Caramel Latte,grande,0,1,0,$3.85,235 kcal
2062,Espresso,grande,50,0,0,$5.29,40 kcal
2063,White Mocha,short,0,1,1,$4.19,315 kcal
2064,Vanilla Latte,grande,25,1,0,$4.37,230 kcal
2065,Matcha Latte,short,25,5,0,$4.84,225 kcal
2066,Latte,grande,75,1,0,$5.51,175 kcal
2067,Caramel Latte,mega,25,1,0,$5.61,185 kcal
2068,Green Tea Lemonade,short,25,0,0,$2.94,85 kcal
2069,Strawberry Cream,short,0,5,0,$2.77,350 kcal
2070,Cold Brew,tall,75,2,0,$5.24,100 kcal
2071,Americano,grande,50,4,0,$4.44,70 kcal
2072,Matcha Latte,grande,25,3,0,$4.64,295 kcal
2073,Strawberry Cream,tall,50,1,3,$4.51,335 kcal
2074,Cold Brew,short,25,0,0,$4.81,80 kcal
2075,Latte,grande,25,1,0,$3.51,160 kcal
2076,Green Tea Lemonade,tall,0,0,0,$5.09,120 kcal
2077,Cappuccino,grande,25,5,0,$5.64,180 kcal
2078,Chai Tea,grande,50,3,0,$5.47,250 kcal
2079,Caramel Latte,venti,25,0,0,$6.18,270 kcal
2080,Matcha Latte,grande,75,3,0,$4.73,305 kcal
2081,Chai Tea,tall,25,5,0,$4.48,230 kcal
2082,Americano,short,75,0,0,$3.18,5 kcal
2083,Matcha Latte,venti,100,3,0,$4.58,330 kcal
2084,Flat White,short,100,2,0,$3.34,155 kcal
2085,Cappuccino,short,0,1,0,$3.57,135 kcal
2086,Espresso,grande,25,0,0,$4.72,55 kcal
2087,Hot Chocolate,grande,0,1,1,$4.16,310 kcal
2088,Matcha Latte,vendi,100,1,0,$3.91,310 kcal
2089,Latte,short,100,1,3,$4.03,105 kcal
2090,Chai Tea,tall,0,4,0,$4.10,250 kcal
2091,Espresso,tall,25,3,0,$4.35,40 kcal
2092,Strawberry Cream,tall,100,4,0,$4.87,345 kcal
2093,Vanilla Latte,grande,100,5,0,$5.69,230 kcal
2094,Iced Matcha,grande,25,3,0,$3.66,285 kcal
2095,Caramel Frappuccino,grande,50,2,1,$4.74,365 kcal
2096,Vanilla Latte,grande,50,1,0,$3.87,220 kcal
2097,Cappuccino,grande,0,5,0,$4.05,185 kcal
2098,Matcha Latte,short,25,3,0,$4.29,225 kcal
2099,Chai Tea,tall,75,3,0,$5.01,250 kcal
2100,Mocha,venti,100,2,1,$5.91,320 kcal
2101,Cappuccino,tall,100,5,0,$3.78,170 kcal
2102,Caramel Frappuccino,short,75,2,1,$3.01,300 kcal
2103,Strawberry Cream,venti,100,0,0,$5.47,385 kcal
2104,Flat White,venti,25,2,0,$4.32,235 kcal
2105,Vanilla Latte,grande,100,1,0,$3.50,245 kcal
2106,Matcha Latte,venti,50,3,0,$4.01,295 kcal
2107,Vanilla Latte,short,25,1,0,$4.92,175 kcal
2108,Iced Matcha,grande,75,3,0,$4.30,275 kcal
2109,Caramel Latte,tall,50,1,0,$4.81,220 kcal
2110,Caramel Frappuccino,tall,100,4,1,$5.19,340 kcal
2111,Mocha,grande,0,5,1,$5.29,295 kcal
2112,Mocha,short,75,2,3,$5.30,250 kcal
2113,Cappuccino,mega,100,5,0,$3.80,180 kcal
2114,Black Tea,grande,0,0,0,$3.60,35 kcal
2115,Black Tea,tall,25,0,0,$5.25,35 kcal
2116,Cappuccino,grande,0,5,0,$4.24,170 kcal
2117,Americano,short,100,0,0,$4.34,25 kcal
2118,Espresso,venti,100,0,0,$4.75,80 kcal
2119,Black Tea,tall,100,0,0,$5.15,10 kcal
2120,Vanilla Latte,tall,50,1,0,$5.36,210 kcal
2121,Flat White,tall,75,2,0,$4.85,190 kcal
2122,Chai Tea,tall,100,4,0,$3.55,250 kcal
2123,Chai Tea,grande,50,4,0,$5.13,265 kcal
2124,Hazelnut Latte,tall,25,1,0,$4.67,245 kcal
2125,Chai Tea,grande,0,4,0,$4.48,255 kcal
2126,Green Tea Lemonade,short,25,0,0,$3.75,110 kcal
2127,Flat White,tall,0,5,0,$4.90,175 kcal
2128,Iced Matcha,tall,25,3,0,$3.15,260 kcal
2129,Iced Americano,mini,0,0,0,$4.13,60 kcal
2130,Americano,grande,25,0,0,$4.21,70 kcal
2131,Black Tea,tall,75,0,0,$5.35,10 kcal
2132,Flat White,tall,100,2,0,$4.25,190 kcal
2133,Flat White,venti,100,2,0,$5.60,225 kcal
2134,Vanilla Latte,grande,75,1,0,$5.23,235 kcal
2135,Caramel Frappuccino,short,100,4,1,$4.07,300 kcal
2136,Cold Brew,grande,0,0,0,$3.52,125 kcal
2137,Espresso,short,75,0,0,$4.42,5 kcal
2138,Cold Brew,venti,100,0,0,$5.09,140 kcal
2139,Green Tea Lemonade,grande,25,1,0,$6.04,120 kcal
2140,White Mocha,short,75,3,0,$4.08,340 kcal
2141,Vanilla Latte,grande,75,1,0,$4.37,230 kcal
2142,Matcha Latte,grande,25,2,0,$5.31,280 kcal
2143,Hazelnut Latte,grande,25,1,0,$4.75,235 kcal
2144,Black Tea,tall,75,0,0,$4.68,10 kcal
2145,Latte,mini,75,2,0,$3.77,130 kcal
2146,Iced Matcha,grande,100,3,0,$5.23,265 kcal
2147,Cappuccino,venti,25,5,0,$5.63,205 kcal
2148,Hazelnut Latte,tall,75,1,0,$4.46,210 kcal
2149,White Mocha,tall,50,3,1,$5.50,350 kcal
2150,Hot Chocolate,grande,25,0,1,$4.19,320 kcal
2151,Caramel Latte,tall,100,1,0,$3.65,210 kcal
2152,Americano,tall,50,0,0,$4.52,55 kcal
2153,Hot Chocolate,venti,0,0,1,$4.58,350 kcal
2154,Latte,grande,75,1,0,$4.09,185 kcal
2155,Caramel Latte,tall,25,1,0,$5.32,195 kcal
2156,Chai Tea,short,25,4,0,$4.71,230 kcal
2157,Cappuccino,grande,25,5,0,$5.84,170 kcal
2158,Espresso,short,50,4,0,$4.55,5 kcal
2159,Cold Brew,tall,75,0,0,$3.72,80 kcal
2160,Hot Chocolate,tall,75,5,1,$5.33,300 kcal
2161,Matcha Latte,venti,0,1,0,$5.40,320 kcal
2162,Flat White,mini,100,2,0,$5.67,210 kcal
2163,White Mocha,grande,25,2,0,$5.43,375 kcal
2164,Iced Matcha,short,50,0,0,$3.91,220 kcal
2165,Caramel Frappuccino,tall,50,2,1,$4.71,305 kcal
2166,Espresso,grande,25,0,0,$3.54,50 kcal
2167,Matcha Latte,tall,25,0,0,$5.48,280 kcal
2168,Matcha Latte,grande,25,3,0,$5.81,305 kcal
2169,Americano,tall,25,0,0,$4.21,35 kcal
2170,White Mocha,grande,25,1,1,$5.88,350 kcal
2171,Cappuccino,venti,50,2,0,$5.93,205 kcal
2172,Strawberry Cream,tall,75,0,0,$5.54,360 kcal
2173,Green Tea Lemonade,tall,25,0,0,$5.68,105 kcal
2174,Hot Chocolate,tall,25,5,1,$4.04,310 kcal
2175,Strawberry Cream,tall,25,5,2,$3.81,360 kcal
2176,Cold Brew,grande,50,0,0,$5.44,100 kcal
2177,Caramel Frappuccino,tall,75,2,1,$3.30,305 kcal
2178,Iced Americano,venti,0,0,0,$4.58,100 kcal
2179,Matcha Latte,tall,75,3,3,$3.39,280 kcal
2180,Black Tea,grande,50,0,0,$5.43,50 kcal
2181,Black Tea,tall,50,0,0,$5.58,10 kcal
2182,Hot Chocolate,tall,0,4,1,$5.22,285 kcal
2183,Cold Brew,tall,75,0,0,$4.87,80 kcal
2184,Cold Brew,tall,50,5,0,$3.12,100 kcal
2185,Cold Brew,grande,25,0,0,$4.90,90 kcal
2186,Cappuccino,grande,50,5,0,$5.08,180 kcal
2187,Iced Americano,tall,75,0,0,$4.50,40 kcal
2188,Vanilla Latte,grande,0,1,0,$5.02,235 kcal
2189,White Mocha,tall,75,2,0,$4.39,325 kcal
2190,Green Tea Lemonade,tall,75,0,0,$5.19,130 kcal
2191,Iced Matcha,tall,50,3,0,$3.94,225 kcal
2192,Vanilla Latte,tall,25,1,0,$4.54,205 kcal
2193,Caramel Frappuccino,tall,25,2,0,$4.70,315 kcal
2194,Iced Matcha,grande,100,4,0,$4.98,285 kcal
2195,Vanilla Latte,tall,50,1,0,$3.71,230 kcal
2196,Americano,tall,25,5,0,$3.26,45 kcal
2197,Americano,venti,75,0,0,$5.48,105 kcal
2198,Latte,venti,25,1,0,$4.98,200 kcal
2199,Black Tea,venti,25,0,0,$4.47,60 kcal
2200,Espresso,tall,50,0,0,$4.62,30 kcal
2201,Green Tea Lemonade,venti,75,5,0,$6.06,170 kcal
2202,Cold Brew,tall,50,0,0,$3.66,65 kcal
2203,Espresso,venti,50,0,0,$3.81,90 kcal
2204,Black Tea,venti,75,0,0,$4.61,95 kcal
2205,Americano,venti,100,3,0,$5.81,70 kcal
2206,Iced Matcha,tall,25,3,0,$3.71,235 kcal
2207,Latte,venti,75,1,0,$4.97,210 kcal
2208,Flat White,grande,75,2,0,$5.13,225 kcal
2209,Latte,venti,25,1,0,$6.09,185 kcal
2210,Flat White,venti,50,2,0,$4.87,250 kcal
2211,Caramel Frappuccino,grande,100,2,1,$4.69,355 kcal
2212,Iced Matcha,grande,75,4,0,$5.68,260 kcal
2213,Mocha,short,0,2,0,$3.03,260 kcal
2214,Strawberry Cream,short,100,5,0,$4.57,340 kcal
2215,Espresso,grande,25,0,0,$5.91,40 kcal
2216,Americano,venti,50,0,2,$5.24,85 kcal
2217,Cappuccino,grande,0,5,0,$3.69,185 kcal
2218,Vanilla Latte,tall,25,3,0,$3.37,195 kcal
2219,Cold Brew,grande,50,3,0,$3.94,115 kcal
2220,Cappuccino,grande,75,5,0,$4.89,205 kcal
2221,Hot Chocolate,grande,25,5,1,$5.79,345 kcal
2222,Green Tea Lemonade,grande,0,0,0,$5.23,130 kcal
2223,White Mocha,grande,75,0,1,$5.02,360 kcal
2224,Caramel Latte,venti,0,1,0,$5.52,235 kcal
2225,Vanilla Latte,tall,100,2,0,$4.76,220 kcal
2226,Caramel Latte,venti,75,1,0,$5.62,245 kcal
2227,White Mocha,short,100,5,1,$3.53,315 kcal
2228,Flat White,tall,100,2,0,$3.39,190 kcal
2229,Americano,tall,50,0,0,$4.99,30 kcal
2230,White Mocha,venti,0,2,1,$4.51,375 kcal
2231,Flat White,tall,0,2,0,$3.46,210 kcal
2232,Iced Matcha,tall,75,1,0,$4.48,260 kcal
2233,Espresso,grande,25,0,0,$3.59,65 kcal
2234,Latte,mega,50,1,0,$4.03,135 kcal
2235,Flat White,mini,50,3,0,$4.09,165 kcal
2236,White Mocha,tall,75,2,0,$4.13,340 kcal
2237,Espresso,venti,75,0,0,$5.98,100 kcal
2238,Cold Brew,venti,50,0,0,$6.25,125 kcal
2239,Iced Americano,short,100,0,0,$4.54,40 kcal
2240,Latte,grande,50,5,0,$4.28,185 kcal
2241,Latte,short,25,5,0,$3.45,120 kcal
2242,Hazelnut Latte,grande,25,1,0,$5.38,245 kcal
2243,Cold Brew,grande,100,0,0,$5.73,100 kcal
2244,Hot Chocolate,tall,100,0,1,$3.36,320 kcal
2245,Cappuccino,tall,25,5,0,$3.28,155 kcal
2246,Hot Chocolate,mega,50,5,1,$4.72,345 kcal
2247,Caramel Frappuccino,short,100,2,1,$4.19,295 kcal
2248,Hazelnut Latte,short,50,1,0,$3.44,215 kcal
2249,Caramel Frappuccino,grande,100,2,1,$4.88,330 kcal
2250,Hazelnut Latte,short,0,1,0,$4.94,225 kcal
2251,Latte,tall,0,1,0,$4.64,135 kcal
2252,Latte,venti,25,1,0,$6.24,175 kcal
2253,Mocha,venti,100,2,1,$4.72,340 kcal
2254,White Mocha,venti,25,2,1,$3.93,410 kcal
2255,Espresso,short,50,1,0,$4.72,5 kcal
2256,Chai Tea,grande,100,4,0,$5.08,250 kcal
2257,Cappuccino,tall,0,5,0,$5.46,145 kcal
2258,Green Tea Lemonade,venti,75,0,0,$5.83,160 kcal
2259,Hazelnut Latte,short,100,2,0,$4.62,225 kcal
2260,Iced Americano,grande,0,0,0,$4.29,60 kcal
2261,Iced Americano,short,25,1,0,$3.89,15 kcal
2262,White Mocha,grande,50,2,1,$3.88,360 kcal
2263,Cappuccino,venti,25,5,0,$4.07,195 kcal
2264,Strawberry Cream,venti,50,5,0,$5.08,395 kcal
2265,White Mocha,grande,50,2,0,$5.06,385 kcal
2266,White Mocha,venti,75,2,1,$6.14,390 kcal
2267,Matcha Latte,venti,100,3,0,$5.34,320 kcal
2268,Caramel Frappuccino,venti,100,2,1,$6.30,355 kcal
2269,Vanilla Latte,grande,25,0,0,$3.60,255 kcal
2270,Matcha Latte,short,25,0,0,$3.07,225 kcal
2271,Matcha Latte,grande,50,4,0,$4.19,270 kcal
2272,Caramel Frappuccino,tall,75,2,1,$4.08,340 kcal
2273,Flat White,grande,100,2,0,$5.12,210 kcal
2274,Latte,short,50,0,0,$4.13,130 kcal
2275,White Mocha,grande,75,2,1,$3.69,350 kcal
2276,Caramel Latte,tall,0,1,0,$4.29,185 kcal
2277,Americano,tall,75,0,3,$4.22,35 kcal
2278,Iced Americano,grande,100,5,0,$4.77,75 kcal
2279,White Mocha,grande,50,2,0,$4.38,365 kcal
2280,Cold Brew,tall,100,0,0,$3.49,80 kcal
2281,Black Tea,grande,25,2,0,$4.50,35 kcal
2282,Latte,tall,0,1,0,$4.97,125 kcal
2283,Americano,tall,100,0,0,$4.57,45 kcal
2284,Iced Americano,grande,100,0,0,$4.86,85 kcal
2285,Strawberry Cream,short,50,5,0,$4.45,315 kcal
2286,Mocha,grande,50,2,1,$5.93,315 kcal
2287,Americano,short,25,0,0,$3.88,35 kcal
2288,Cold Brew,grande,100,3,0,$5.34,115 kcal
2289,Caramel Latte,short,25,1,0,$4.55,200 kcal
2290,Black Tea,tall,100,0,0,$3.48,20 kcal
2291,Caramel Frappuccino,tall,100,5,0,$5.61,305 kcal
2292,Green Tea Lemonade,tall,100,0,0,$4.51,110 kcal
2293,White Mocha,grande,100,1,1,$5.58,365 kcal
2294,Flat White,grande,0,2,0,$4.48,210 kcal
2295,Flat White,tall,75,2,3,$3.98,185 kcal
2296,Iced Americano,tall,0,0,0,$3.33,60 kcal
2297,Chai Tea,tall,100,4,0,$4.12,240 kcal
2298,Hot Chocolate,short,50,5,0,$3.98,290 kcal
2299,Iced Americano,grande,50,0,0,$5.13,60 kcal
2300,Espresso,grande,75,0,0,$3.47,75 kcal
2301,Caramel Frappuccino,grande,100,2,1,$4.96,340 kcal
2302,Flat White,short,75,4,0,$3.55,170 kcal
2303,Americano,grande,100,5,0,$3.51,80 kcal
2304,Caramel Frappuccino,grande,25,1,1,$3.61,340 kcal
2305,Strawberry Cream,venti,75,5,0,$6.19,385 kcal
2306,Cold Brew,tall,0,0,0,$4.91,100 kcal
2307,Mocha,venti,25,2,1,$5.02,340 kcal
2308,Cold Brew,grande,100,0,0,$4.29,100 kcal
2309,White Mocha,grande,100,5,1,$4.14,350 kcal
2310,Latte,venti,25,1,0,$4.68,175 kcal
2311,Black Tea,tall,0,0,0,$4.85,45 kcal
2312,Espresso,short,75,0,0,$2.87,10 kcal
2313,Flat White,venti,50,2,0,$6.26,250 kcal
2314,Matcha Latte,grande,100,3,0,$5.06,285 kcal
2315,Chai Tea,grande,100,4,2,$4.58,275 kcal
2316,Green Tea Lemonade,grande,75,5,0,$3.45,130 kcal
2317,White Mocha,grande,50,2,1,$4.00,375 kcal
2318,Cappuccino,tall,50,3,2,$5.24,170 kcal
2319,Americano,grande,75,0,0,$3.58,60 kcal
2320,Black Tea,short,100,0,0,$4.10,5 kcal
2321,Hazelnut Latte,tall,0,1,0,$4.49,210 kcal
2322,Strawberry Cream,venti,75,5,0,$4.95,400 kcal
2323,Green Tea Lemonade,mega,0,0,0,$4.07,130 kcal
2324,Americano,grande,0,2,0,$4.86,45 kcal
2325,White Mocha,venti,25,2,0,$4.88,400 kcal
2326,Hot Chocolate,mega,25,3,0,$5.39,320 kcal
2327,Black Tea,tall,25,5,0,$5.31,20 kcal
2328,Mocha,tall,100,1,1,$3.82,265 kcal
2329,Hazelnut Latte,grande,50,1,3,$3.71,260 kcal
2330,Matcha Latte,tall,75,3,0,$5.52,245 kcal
